"","Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","filename","date","site","species","sppcode","FCnt","DCnt","Fo","Fm","Fo.","Fm.","Fs","Fv.Fm","Fv..Fm.","PhiPS2","Adark","RedAbs","BlueAbs","X.Blue","LeafAbs","PhiCO2","qP","qN","NPQ","ParIn.Fs","PS2.1","ETR","EBal?","Fo'","Fm'","Fv/Fm","Fv'/Fm'","%Blue","ParIn@Fs","PS2/1","fda","Trans","Tair_K","Twall_K","R(W/m2)","Tl-Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci/Ca","RHsfc","C2sfc","AHs/Cs","Fv","PARabs","Fv'","qP_Fo","qN_Fo"
"11...1",1,"14:39:54",885.5,0,5.38,0.0575,232,0.967,1.73,25.17,6,1.42,1,2.84,24.4,25.17,24.01,399.87,392.95,13.269,14.413,44.58,48.42,499.8,1499,1,103.1,-0.495,0.0806,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14...2",2,"14:41:27",978.5,0,4.09,0.0598,177,0.982,1.69,25.03,6,1.42,1,2.84,24.26,25.03,24.04,299.91,294.66,13.362,14.524,45.27,49.21,499.7,1500,1,103.1,0.194,0.0788,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17...3",3,"14:42:57",1068.5,0,2.3,0.0631,133,1.03,1.67,25.01,6,1.42,1,2.84,24.43,25.01,24.55,199.85,196.84,13.438,14.651,45.07,49.14,499.7,1500,1,103.1,0.676,0.0853,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20...4",4,"14:44:41",1172.5,0,0.751,0.0676,78.5,1.07,1.63,24.83,6,1.42,1,2.84,23.87,24.83,23.37,99.97,98.94,13.449,14.713,46.66,51.04,499.7,1499,1,103.1,1.12,0.0925,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23...5",5,"14:46:07",1258.5,0,-0.693,0.0692,65.5,1.09,1.63,24.84,6,1.42,1,2.84,24.12,24.84,23.96,49.86,50.62,13.493,14.782,46.1,50.5,499.7,1499,1,103.1,1.52,0.096,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26...6",6,"14:48:29",1400.5,0,6.02,0.0726,248,1.14,1.62,24.89,6,1.42,1,2.84,24.22,24.89,24.04,399.98,392.22,13.54,14.89,45.98,50.56,499.7,1499,1,103.1,-0.678,0.0792,0,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29...7",7,"14:49:51",1482.5,0,6.24,0.0752,248,1.15,1.58,24.66,6,1.42,1,2.84,24.24,24.66,24.27,399.96,391.93,13.58,14.937,46.07,50.67,499.7,1500,1,103.1,-0.536,0.0672,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32...8",8,"14:51:31",1582.5,0,9.15,0.073,371,1.16,1.64,25.01,6,1.42,1,2.84,24.41,25.01,24.26,599.98,588.18,13.589,14.96,45.62,50.23,499.8,1499,2,103.1,-2.76,0.0806,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35...9",9,"14:53:53",1724.5,0,10,0.0703,537,1.11,1.64,24.98,6,1.42,1,2.84,24.21,24.98,23.97,799.6,786.55,13.631,14.949,46.32,50.8,499.7,1499,3,103.1,-5.09,0.096,0,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38...10",10,"14:56:03",1855.5,0,10.4,0.0656,706,1.03,1.61,24.84,6,1.42,1,2.84,23.99,24.84,23.68,1000.16,986.46,13.709,14.922,47.19,51.37,499.7,1499,2,103.1,-8.01,0.109,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41...11",11,"14:58:25",1997.5,0,10.9,0.0571,1140,0.911,1.64,24.94,6,1.42,1,2.84,24.25,24.94,23.98,1499.82,1485.06,13.763,14.84,46.64,50.29,499.7,1499,1,103.1,-16.5,0.0795,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67...12",12,"15:08:04",2575.5,0,4.99,0.0532,233,0.83,1.6,24.82,6,1.42,1,2.84,24.69,24.82,24.7,400,393.62,14.019,15,46.28,49.53,499.7,800,1,103,-0.256,0.089,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70...13",13,"15:11:08",2759.5,0,5.6,0.0591,231,0.904,1.57,24.73,6,1.42,1,2.84,24.35,24.73,24.3,400.08,392.93,14.049,15.118,47.32,50.92,499.7,1001,1,103,-0.291,0.0817,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73...14",14,"15:14:07",2939.5,0,5.97,0.0666,238,1,1.55,24.74,6,1.42,1,2.84,24.15,24.74,24.11,399.96,392.33,14.146,15.331,48.23,52.27,499.7,1300,1,103,-0.389,0.061,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76...15",15,"15:16:51",3102.5,0,5.08,0.0613,250,0.929,1.56,24.79,6,1.42,1,2.84,25.03,24.79,25.33,399.95,393.41,14.256,15.354,46.1,49.65,499.7,500,1,103,-0.717,0.0851,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79...16",16,"15:20:04",3295,0,3.79,0.0506,265,0.795,1.61,25,6,1.42,1,2.84,25.19,25,25.32,400.01,395.08,14.3,15.24,45.8,48.82,499.7,301,1,103,-0.454,0.102,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82...17",17,"15:22:26",3438,0,3.27,0.0422,262,0.668,1.62,24.98,6,1.42,1,2.84,25.19,24.98,25.32,399.93,395.68,14.347,15.137,45.96,48.49,499.7,201,1,103,-1.17,0.0918,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85...18",18,"15:25:23",3614,0,1.77,0.0341,305,0.538,1.61,24.9,6,1.42,1,2.84,25.05,24.9,25.08,399.94,397.56,14.462,15.098,46.71,48.76,499.7,100,1,103,-0.504,0.103,1,-0.22,2.74,1,0,0.16,111115,"20200526_pain_ptsj",2020-05-26,"F27","Parthenocissus sp.","paspp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
