,Obs,Time,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,Status,filename,date,site,species,sppcode,ID
1,1,-40.2,9.45,0.223,308,2.8,1.3,6,1,2.84,28.04,30,26.89,400.08,387.43,26.378,29.636,69.25,77.8,499.9,1300,57,99.88,6.99,0.887,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
2,2,80.5,9.37,0.223,309,2.81,1.31,6,1,2.84,28.07,30.06,26.88,400.43,387.88,26.421,29.7,69.26,77.85,499.8,1300,57,99.87,6.99,0.887,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
3,3,424.3,9.33,0.216,307,2.76,1.33,6,1,2.84,29.03,30.14,28.25,401.19,388.7,26.501,29.72,65.69,73.67,499.9,1001,62,99.89,6.25,0.761,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
4,4,427.3,9.37,0.217,307,2.77,1.32,6,1,2.84,29.03,30.13,28.21,401.21,388.67,26.497,29.72,65.68,73.67,499.7,1000,62,99.89,6.25,0.761,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
5,5,669,9.07,0.209,306,2.67,1.32,6,1,2.84,29.46,30.09,28.83,399.79,387.66,26.575,29.682,64.3,71.82,499.8,800,54,99.9,6.13,0.746,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
6,6,669.8,9.07,0.209,306,2.67,1.32,6,1,2.84,29.45,30.1,28.84,399.8,387.69,26.575,29.673,64.3,71.82,499.9,800,55,99.9,6.13,0.746,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
7,7,909.8,8.81,0.2,306,2.55,1.31,6,1,2.84,30.14,30.01,29.8,400.21,388.45,26.59,29.559,61.84,68.74,499.9,499,60,99.9,6.01,0.726,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
8,8,913.5,8.81,0.2,306,2.55,1.31,6,1,2.84,30.14,30.05,29.82,400.3,388.42,26.594,29.567,61.84,68.74,499.8,500,60,99.89,6.01,0.726,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
9,9,1129,7.95,0.19,312,2.44,1.32,6,1,2.84,30.56,30.02,30.39,400.62,389.93,26.652,29.499,60.51,66.97,499.5,300,66,99.89,6.2,0.722,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
10,10,1133.5,7.91,0.19,312,2.44,1.32,6,1,2.84,30.57,30.03,30.4,400.56,389.92,26.649,29.492,60.48,66.93,500,300,67,99.88,6.2,0.722,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
11,11,1295.8,7.15,0.185,318,2.36,1.31,6,1,2.84,30.63,29.97,30.4,400.79,391.1,26.756,29.503,60.48,66.69,499.9,200,78,99.87,6.12,0.723,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
12,12,1304,7.17,0.184,318,2.35,1.31,6,1,2.84,30.64,29.97,30.4,400.73,391.02,26.752,29.49,60.44,66.63,499.9,200,76,99.88,6.12,0.723,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
13,13,1595,5.16,0.18,337,2.33,1.32,6,1,2.84,30.86,30.09,30.6,400.81,393.51,26.959,29.67,60.15,66.2,499.8,99,77,99.86,6.07,0.739,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
14,14,1598.8,5.22,0.18,337,2.32,1.32,6,1,2.84,30.86,30.08,30.59,400.83,393.47,26.957,29.663,60.14,66.18,499.7,99,77,99.86,6.07,0.739,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
15,15,1745,3.01,0.174,359,2.21,1.3,6,1,2.84,30.74,29.99,30.39,400.76,396.09,27.06,29.633,60.79,66.58,499.8,51,80,99.86,5.99,0.734,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
16,16,1746.5,2.97,0.174,359,2.21,1.3,6,1,2.84,30.74,29.99,30.4,400.68,396.06,27.062,29.639,60.8,66.59,499.9,51,79,99.86,5.99,0.734,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
17,17,1879.8,1.19,0.17,378,2.17,1.31,6,1,2.84,30.86,30.04,30.59,400.81,398.34,27.174,29.706,60.64,66.29,499.8,20,84,99.85,5.91,0.751,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
18,18,1882,1.22,0.169,378,2.17,1.31,6,1,2.84,30.85,30.05,30.59,400.86,398.35,27.176,29.706,60.65,66.3,499.8,21,83,99.85,5.91,0.751,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
19,19,2108.5,-0.589,0.161,398,2.07,1.31,6,1,2.84,30.73,30.06,30.4,400.96,400.67,27.292,29.705,61.33,66.75,499.8,0,83,99.85,5.99,0.748,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
20,20,2110,-0.589,0.161,398,2.07,1.31,6,1,2.84,30.73,30.05,30.4,400.98,400.71,27.292,29.706,61.33,66.75,499.8,0,82,99.85,5.99,0.748,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
21,21,2128.8,-0.584,0.161,398,2.07,1.3,6,1,2.84,30.73,30.04,30.39,400.97,400.68,27.289,29.699,61.33,66.74,499.8,0,82,99.84,5.99,0.748,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
23,22,3228.5,9.11,0.197,302,2.57,1.34,6,1,2.84,27.62,29.92,26.3,399.88,387.74,26.074,29.065,70.12,78.16,499.7,1300,82,99.83,6.62,0.894,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
24,23,3236.8,9.01,0.199,303,2.58,1.34,6,1,2.84,27.63,29.93,26.3,399.79,387.77,26.074,29.087,70.07,78.16,499.7,1299,81,99.83,6.62,0.894,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
25,24,3242,9.08,0.199,303,2.58,1.34,6,1,2.84,27.64,29.91,26.3,399.95,387.85,26.08,29.089,70.08,78.16,499.7,1299,82,99.82,6.62,0.894,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
26,25,3550,6.18,0.208,235,2.7,1.34,6,1,2.84,27.87,30.01,26.69,299.21,290.85,26.121,29.272,69.21,77.56,499.7,1299,80,99.82,5.24,0.896,111115,20200806_TM.xlsx,8/6/20,J22,Euonymus alatus,euala,euala-J22-1
