species,region,invader,homeaway,woody,grass,family,nativerange
Acer negundo,E,invader,home,1,0,Sapindaceae,E
Acer negundo,F,invader,away,1,0,Sapindaceae,E
Acer negundo,J,invader,away,1,0,Sapindaceae,E
Acer pseudoplatanus,E,native,away,1,0,Sapindaceae,F
Acer pseudoplatanus,F,native,home,1,0,Sapindaceae,F
Acer pseudoplatanus,J,native,away,1,0,Sapindaceae,F
Agrostis gigantea,E,native,away,0,1,Poaceae,F
Agrostis gigantea,F,native,home,0,1,Poaceae,F
Agrostis gigantea,J,native,away,0,1,Poaceae,F
Agrostis stolonifera,E,invader,away,0,1,Poaceae,F
Agrostis stolonifera,F,invader,home,0,1,Poaceae,F
Agrostis stolonifera,J,invader,away,0,1,Poaceae,F
Ambrosia artemisiifolia,E,invader,home,0,0,Asteraceae,E
Ambrosia artemisiifolia,F,invader,away,0,0,Asteraceae,E
Ambrosia artemisiifolia,J,invader,away,0,0,Asteraceae,E
Anthoxanthum odoratum,E,invader,away,0,1,Poaceae,F
Anthoxanthum odoratum,F,invader,home,0,1,Poaceae,F
Anthoxanthum odoratum,J,invader,away,0,1,Poaceae,F
Artemisia vulgaris,E,invader,away,0,0,Asteraceae,F
Artemisia vulgaris,F,invader,home,0,0,Asteraceae,F
Artemisia vulgaris,J,invader,away,0,0,Asteraceae,F
Berberis thunbergii,E,invader,away,1,0,Berberidaceae,J
Berberis thunbergii,F,invader,away,1,0,Berberidaceae,J
Berberis thunbergii,J,invader,home,1,0,Berberidaceae,J
Bidens frondosa,E,invader,home,0,0,Asteraceae,E
Bidens frondosa,F,invader,away,0,0,Asteraceae,E
Bidens frondosa,J,invader,away,0,0,Asteraceae,E
Bidens tripartita,E,native,away,0,0,Asteraceae,F
Bidens tripartita,F,native,home,0,0,Asteraceae,F
Bidens tripartita,J,native,away,0,0,Asteraceae,F
Celastrus orbiculatus,E,invader,away,1,0,Celastraceae,J
Celastrus orbiculatus,F,invader,away,1,0,Celastraceae,J
Celastrus orbiculatus,J,invader,home,1,0,Celastraceae,J
Celastrus scandens,E,native,home,1,0,Celastraceae,E
Celastrus scandens,F,native,away,1,0,Celastraceae,E
Celastrus scandens,J,native,away,1,0,Celastraceae,E
Chenopodium album,E,invader,away,0,0,Chenopodiaceae,F
Chenopodium album,F,invader,home,0,0,Chenopodiaceae,F
Chenopodium album,J,invader,away,0,0,Chenopodiaceae,F
Cirsium japonicum,E,native,away,0,0,Asteraceae,J
Cirsium japonicum,F,native,away,0,0,Asteraceae,J
Cirsium japonicum,J,native,home,0,0,Asteraceae,J
Conyza canadensis,E,invader,home,0,0,Asteraceae,E
Conyza canadensis,F,invader,away,0,0,Asteraceae,E
Conyza canadensis,J,invader,away,0,0,Asteraceae,E
Cryptotaenia japonica,E,native,away,0,0,Apiaceae,J
Cryptotaenia japonica,F,native,away,0,0,Apiaceae,J
Cryptotaenia japonica,J,native,home,0,0,Apiaceae,J
Dactylis glomerata,E,native,away,0,1,Poaceae,F
Dactylis glomerata,F,native,home,0,1,Poaceae,F
Dactylis glomerata,J,native,away,0,1,Poaceae,F
Daucus carota,E,invader,away,0,0,Apiaceae,F
Daucus carota,F,invader,home,0,0,Apiaceae,F
Daucus carota,J,invader,away,0,0,Apiaceae,F
Erigeron annuus,E,invader,home,0,0,Asteraceae,E
Erigeron annuus,F,invader,away,0,0,Asteraceae,E
Erigeron annuus,J,invader,away,0,0,Asteraceae,E
Euonymus alatus,E,invader,away,1,0,Celastraceae,J
Euonymus alatus,F,invader,away,1,0,Celastraceae,J
Euonymus alatus,J,invader,home,1,0,Celastraceae,J
Eupatorium cannabinum,E,native,away,0,0,Asteraceae,F
Eupatorium cannabinum,F,native,home,0,0,Asteraceae,F
Eupatorium cannabinum,J,native,away,0,0,Asteraceae,F
Eupatorium glehnii,E,native,away,0,0,Asteraceae,J
Eupatorium glehnii,F,native,away,0,0,Asteraceae,J
Eupatorium glehnii,J,native,home,0,0,Asteraceae,J
Eupatorium lindleyanum,E,native,away,0,0,Asteraceae,J
Eupatorium lindleyanum,F,native,away,0,0,Asteraceae,J
Eupatorium lindleyanum,J,native,home,0,0,Asteraceae,J
Fallopia japonica,E,invader,away,0,0,Polygonaceae,J
Fallopia japonica,F,invader,away,0,0,Polygonaceae,J
Fallopia japonica,J,invader,home,0,0,Polygonaceae,J
Humulus lupulus,E,native,away,1,0,Cannabinaceae,F
Humulus lupulus,F,native,home,1,0,Cannabinaceae,F
Humulus lupulus,J,native,away,1,0,Cannabinaceae,F
Laburnum anagyroides,E,native,away,1,0,Fabaceae,F
Laburnum anagyroides,F,native,home,1,0,Fabaceae,F
Laburnum anagyroides,J,native,away,1,0,Fabaceae,F
Leucanthemum vulgaris,E,invader,away,0,0,Asteraceae,F
Leucanthemum vulgaris,F,invader,home,0,0,Asteraceae,F
Leucanthemum vulgaris,J,invader,away,0,0,Asteraceae,F
Lindera benzoin,E,native,home,1,0,Lauraceae,E
