"","region","species","ID","Vcmax","Jmax","Rd","Vcmax_SE","Jmax_SE","Rd_SE","ID","sppcode","Date","invader","homeaway","woody","grass","family","nativerange"
"1","E","Acer negundo","acneg-E10-1",50.8206956055668,75.3641104423682,0.454863321380031,1.39499941900537,NA,0.17953206692737,"acneg-E10-1","acneg",2019-07-09,"invader","home",1,0,"Sapindaceae","E"
"2","E","Acer negundo","acneg-E11-1",43.1927389620169,35.1701324191641,-5.33985534770783,46.9141723478326,NA,4.14438819692335,"acneg-E11-1","acneg",2019-07-15,"invader","home",1,0,"Sapindaceae","E"
"3","E","Acer negundo","acneg-E17-1",87.160726562366,104.978438403785,0.974083611128939,2.2574242655552,NA,0.189242561220461,"acneg-E17-1","acneg",2020-06-18,"invader","home",1,0,"Sapindaceae","E"
"4","E","Acer negundo","acneg-E19-1",112.639987785682,101.030029333961,1.67028887380257,11.4323947790941,NA,0.728593554800868,"acneg-E19-1","acneg",2020-07-07,"invader","home",1,0,"Sapindaceae","E"
"5","E","Acer negundo","acneg-E20-1",76.0009512520419,99.0858947339928,0.349289846248701,2.20444018673738,NA,0.293563976485951,"acneg-E20-1","acneg",2020-07-22,"invader","home",1,0,"Sapindaceae","E"
"6","E","Acer negundo","acneg-E4-1",53.9262267927296,78.4163293832337,0.687076170467545,2.66039570725841,NA,0.304655674881426,"acneg-E4-1","acneg",2020-06-23,"invader","home",1,0,"Sapindaceae","E"
"7","E","Acer negundo","acneg-E5-1",94.8915851187281,99.3329965463278,1.48747412093467,18.6447519992424,NA,1.64086599976501,"acneg-E5-1","acneg",2019-06-26,"invader","home",1,0,"Sapindaceae","E"
"8","E","Acer negundo","acneg-E5-2",92.3420382747096,129.148643620729,1.61035363659839,2.4264407294074,NA,0.272957301247406,"acneg-E5-2","acneg",2020-07-02,"invader","home",1,0,"Sapindaceae","E"
"9","E","Acer negundo","acneg-E7-1",62.176578431929,60.3121225295804,-0.0262849672645047,18.4695901119018,NA,2.00118903365532,"acneg-E7-1","acneg",2019-06-27,"invader","home",1,0,"Sapindaceae","E"
"10","E","Acer negundo","acneg-E7-2",89.5431706661035,108.080493190335,0.513817560802069,7.90676704850495,NA,0.330476493825699,"acneg-E7-2","acneg",2020-08-06,"invader","home",1,0,"Sapindaceae","E"
"11","E","Ambrosia artemisiifolia","amart-E19-1",192.102158133487,384.905766179945,-0.867008001998185,8.42913891652463,NA,1.00616757305753,"amart-E19-1","amart",2020-07-07,"invader","home",0,0,"Asteraceae","E"
"12","E","Ambrosia artemisiifolia","amart-E33-1",122.539232196958,171.17214919624,-0.390380714654129,3.95396122165969,NA,0.500677564534852,"amart-E33-1","amart",2021-09-13,"invader","home",0,0,"Asteraceae","E"
"13","E","Ambrosia artemisiifolia","amart-E37-1",92.606218064847,143.486692384909,-0.429452083528647,2.08908799143845,NA,0.25690611794543,"amart-E37-1","amart",2021-09-17,"invader","home",0,0,"Asteraceae","E"
"14","E","Ambrosia artemisiifolia","amart-E5-1",204.306854989571,455.883335417764,-0.391457983670351,5.03290502373177,NA,0.571064360558359,"amart-E5-1","amart",2020-07-15,"invader","home",0,0,"Asteraceae","E"
"15","E","Artemisia vulgaris","arvul-E15-1",167.055301762001,208.050477453548,1.08710399643768,1.85719452608649,NA,0.147014687627328,"arvul-E15-1","arvul",2020-06-19,"invader","away",0,0,"Asteraceae","F"
"16","E","Artemisia vulgaris","arvul-E17-1",116.724254164248,158.458116795138,0.842077111480325,3.89245202591998,NA,0.351786439127982,"arvul-E17-1","arvul",2020-06-18,"invader","away",0,0,"Asteraceae","F"
"17","E","Artemisia vulgaris","arvul-E19-1",303.433541775868,214.964574694001,2.49905831329881,65.5979696016975,NA,1.16042412636665,"arvul-E19-1","arvul",2020-07-07,"invader","away",0,0,"Asteraceae","F"
"18","E","Artemisia vulgaris","arvul-E5-1",105.186471013426,164.212741125367,0.537846992389851,3.40237424973491,NA,0.44139678547618,"arvul-E5-1","arvul",2020-07-15,"invader","away",0,0,"Asteraceae","F"
"19","E","Bidens frondosa","bifro-E27-1",138.730108577998,188.053628635787,-0.205271693781837,3.15079339414889,NA,0.16643157282879,"bifro-E27-1","bifro",2021-08-06,"invader","home",0,0,"Asteraceae","E"
